,subgroup,subgroup_size,subgroup_auc,bpsn_auc,bnsp_auc
6,black,758,0.8046979970021049,0.8463528836580951,0.9522135533286229
5,muslim,986,0.8267581521739131,0.8938686776070258,0.9379925095317896
2,homosexual_gay_or_lesbian,527,0.830525048894238,0.8546486388329314,0.9534423014315409
7,white,1274,0.8348132978955166,0.8646960929899123,0.954095137344061
8,psychiatric_or_mental_illness,273,0.8620779672815871,0.9188347302736253,0.9272104589510771
4,jewish,424,0.8930790960451979,0.9213476965935942,0.9405888987545296
0,male,2274,0.9046487971487972,0.9324177720742397,0.9420974636648618
1,female,2553,0.9080514492926118,0.9371149314270385,0.9399521385177989
3,christian,2117,0.9245554796772644,0.9491324500709865,0.9359418715136291
