,subgroup,SUB,BPSN,BNSP
0,black,0.8082,0.8803,0.9393
1,white,0.8118,0.8754,0.9431
2,male,0.9105,0.934,0.9448
3,female,0.9227,0.9442,0.9416
4,christian,0.9159,0.9531,0.9275
5,jewish,0.8825,0.9287,0.9304
6,muslim,0.8157,0.911,0.9237
7,psychiatric_or_mental_illness,0.9184,0.921,0.9558
8,homosexual_gay_or_lesbian,0.8115,0.8785,0.9398
9,Mp,0.8577,0.9114,0.9382
