,subgroup,SUB,BPSN,BNSP
0,black,0.8503,0.9041,0.9562
1,white,0.8685,0.9131,0.9567
2,male,0.9271,0.9611,0.9495
3,female,0.9326,0.9658,0.9469
4,christian,0.9459,0.9715,0.944
5,jewish,0.9274,0.9517,0.9542
6,muslim,0.8867,0.9352,0.9497
7,psychiatric_or_mental_illness,0.901,0.9441,0.9501
8,homosexual_gay_or_lesbian,0.8441,0.92,0.945
9,Mp,0.8939,0.9391,0.9502
