,subgroup,SUB,BPSN,BNSP
0,black,0.8589,0.9272,0.9494
1,white,0.8645,0.9239,0.9533
2,male,0.935,0.9633,0.9536
3,female,0.9434,0.9735,0.9467
4,christian,0.944,0.9744,0.9439
5,jewish,0.917,0.9518,0.95
6,muslim,0.8726,0.9419,0.9439
7,psychiatric_or_mental_illness,0.9564,0.9584,0.9688
8,homosexual_gay_or_lesbian,0.8482,0.9307,0.9437
9,Mp,0.899,0.9484,0.9502
