,subgroup,SUB,BPSN,BNSP
0,black,0.8568,0.9126,0.955
1,white,0.8722,0.9187,0.9563
2,male,0.9305,0.9629,0.9517
3,female,0.9326,0.9672,0.9479
4,christian,0.9489,0.9732,0.9455
5,jewish,0.9291,0.9542,0.9544
6,muslim,0.8917,0.9377,0.9505
7,psychiatric_or_mental_illness,0.8971,0.9456,0.9497
8,homosexual_gay_or_lesbian,0.8515,0.9277,0.945
9,Mp,0.8973,0.9431,0.9506
