,subgroup,SUB,BPSN,BNSP
0,black,0.8509,0.9054,0.9553
1,white,0.8697,0.9144,0.9561
2,male,0.9278,0.9616,0.9491
3,female,0.9332,0.9663,0.9465
4,christian,0.946,0.9719,0.9432
5,jewish,0.9289,0.9527,0.9535
6,muslim,0.8875,0.9358,0.9492
7,psychiatric_or_mental_illness,0.9006,0.9435,0.9502
8,homosexual_gay_or_lesbian,0.8446,0.9207,0.9445
9,Mp,0.8945,0.9397,0.9497
