,subgroup,SUB,BPSN,BNSP
0,black,0.8501,0.9227,0.949
1,white,0.858,0.921,0.9526
2,male,0.9337,0.9625,0.9526
3,female,0.9405,0.973,0.9445
4,christian,0.9433,0.9738,0.943
5,jewish,0.918,0.9524,0.9491
6,muslim,0.8629,0.9411,0.9418
7,psychiatric_or_mental_illness,0.948,0.955,0.9666
8,homosexual_gay_or_lesbian,0.8473,0.926,0.945
9,Mp,0.8943,0.9463,0.9492
