,subgroup,SUB,BPSN,BNSP
0,black,0.8355,0.8798,0.9614
1,white,0.8505,0.898,0.9558
2,male,0.9224,0.9522,0.9507
3,female,0.9249,0.9582,0.9446
4,christian,0.9393,0.9639,0.9475
5,jewish,0.9114,0.9402,0.9549
6,muslim,0.8703,0.9176,0.9517
7,psychiatric_or_mental_illness,0.8897,0.9367,0.9448
8,homosexual_gay_or_lesbian,0.8521,0.905,0.9517
9,Mp,0.8841,0.9254,0.9514
