,subgroup,SUB,BPSN,BNSP
0,black,0.8561,0.9144,0.9522
1,white,0.8701,0.9195,0.954
2,male,0.9295,0.9627,0.9504
3,female,0.9309,0.9671,0.946
4,christian,0.9484,0.9733,0.9434
5,jewish,0.929,0.9545,0.9518
6,muslim,0.8909,0.9367,0.949
7,psychiatric_or_mental_illness,0.893,0.9438,0.9483
8,homosexual_gay_or_lesbian,0.8503,0.9278,0.9431
9,Mp,0.8959,0.9431,0.9487
