,subgroup,SUB,BPSN,BNSP
0,black,0.858,0.9282,0.947
1,white,0.8636,0.9243,0.9511
2,male,0.9333,0.9629,0.9515
3,female,0.9426,0.9733,0.9447
4,christian,0.9436,0.9748,0.9417
5,jewish,0.9158,0.9508,0.9489
6,muslim,0.8691,0.9409,0.9417
7,psychiatric_or_mental_illness,0.9525,0.9572,0.967
8,homosexual_gay_or_lesbian,0.8454,0.9307,0.9414
9,Mp,0.8971,0.9482,0.9481
