,subgroup,SUB,BPSN,BNSP
0,black,0.8356,0.8939,0.9524
1,white,0.868,0.9057,0.9557
2,male,0.927,0.9566,0.9486
3,female,0.9289,0.9623,0.9433
4,christian,0.9439,0.9692,0.9397
5,jewish,0.9213,0.9475,0.9489
6,muslim,0.8791,0.9325,0.944
7,psychiatric_or_mental_illness,0.8955,0.9294,0.9525
8,homosexual_gay_or_lesbian,0.8397,0.9106,0.9454
9,Mp,0.8883,0.9321,0.9477
