,subgroup,SUB,BPSN,BNSP
0,black,0.8421,0.9082,0.9486
1,white,0.8466,0.9096,0.9505
2,male,0.9267,0.9574,0.9483
3,female,0.9354,0.9682,0.9409
4,christian,0.9371,0.9701,0.9374
5,jewish,0.9045,0.9446,0.9451
6,muslim,0.8434,0.9351,0.934
7,psychiatric_or_mental_illness,0.9384,0.9413,0.9664
8,homosexual_gay_or_lesbian,0.8328,0.914,0.9417
9,Mp,0.883,0.9371,0.9456
