,subgroup,SUB,BPSN,BNSP
0,black,0.8467,0.9011,0.953
1,white,0.8597,0.9032,0.9553
2,male,0.9198,0.9529,0.9482
3,female,0.9207,0.9568,0.9444
4,christian,0.9344,0.9624,0.9432
5,jewish,0.9074,0.9358,0.9526
6,muslim,0.8643,0.9281,0.9436
7,psychiatric_or_mental_illness,0.8803,0.9415,0.9366
8,homosexual_gay_or_lesbian,0.831,0.915,0.9355
9,Mp,0.8808,0.9315,0.9457
