,subgroup,SUB,BPSN,BNSP
0,black,0.8549,0.9116,0.9551
1,white,0.8716,0.9182,0.9565
2,male,0.9303,0.9624,0.952
3,female,0.9333,0.9667,0.9485
4,christian,0.9484,0.9726,0.9461
5,jewish,0.9288,0.9539,0.9549
6,muslim,0.8893,0.9374,0.9502
7,psychiatric_or_mental_illness,0.8975,0.9449,0.9504
8,homosexual_gay_or_lesbian,0.8511,0.928,0.9446
9,Mp,0.8966,0.9426,0.9509
