,subgroup,SUB,BPSN,BNSP
0,black,0.8577,0.926,0.9497
1,white,0.8635,0.923,0.9535
2,male,0.9345,0.9629,0.9537
3,female,0.943,0.9728,0.9471
4,christian,0.9435,0.9737,0.9446
5,jewish,0.9163,0.9514,0.9506
6,muslim,0.8716,0.942,0.9439
7,psychiatric_or_mental_illness,0.9556,0.958,0.9691
8,homosexual_gay_or_lesbian,0.8481,0.9316,0.943
9,Mp,0.8983,0.948,0.9504
