,subgroup,SUB,BPSN,BNSP
0,black,0.8408,0.9106,0.9408
1,white,0.8499,0.9158,0.9416
2,male,0.9198,0.9596,0.9358
3,female,0.916,0.9655,0.9244
4,christian,0.9375,0.9682,0.9304
5,jewish,0.924,0.9445,0.9481
6,muslim,0.8651,0.9323,0.9349
7,psychiatric_or_mental_illness,0.8824,0.9386,0.9347
8,homosexual_gay_or_lesbian,0.8298,0.9211,0.9277
9,Mp,0.8801,0.9383,0.9352
