,subgroup,SUB,BPSN,BNSP
0,black,0.8505,0.9238,0.9485
1,white,0.8585,0.9212,0.9525
2,male,0.9342,0.9626,0.9525
3,female,0.9403,0.9739,0.9431
4,christian,0.9437,0.9743,0.9416
5,jewish,0.9125,0.9524,0.9469
6,muslim,0.864,0.9394,0.9422
7,psychiatric_or_mental_illness,0.9487,0.9556,0.9664
8,homosexual_gay_or_lesbian,0.8437,0.9213,0.9467
9,Mp,0.8936,0.9458,0.9488
