,subgroup,SUB,BPSN,BNSP
0,black,0.8547,0.9134,0.9527
1,white,0.8713,0.9196,0.9545
2,male,0.9302,0.9629,0.9506
3,female,0.9331,0.9673,0.9468
4,christian,0.9481,0.9733,0.9438
5,jewish,0.9294,0.9551,0.9524
6,muslim,0.8889,0.9375,0.9488
7,psychiatric_or_mental_illness,0.8959,0.943,0.95
8,homosexual_gay_or_lesbian,0.8493,0.9279,0.9432
9,Mp,0.8961,0.9431,0.9491
