,subgroup,SUB,BPSN,BNSP
0,black,0.858,0.9265,0.9494
1,white,0.864,0.9227,0.9535
2,male,0.9349,0.9627,0.9537
3,female,0.9432,0.9732,0.9466
4,christian,0.9433,0.9739,0.9437
5,jewish,0.914,0.9512,0.9489
6,muslim,0.8731,0.9403,0.9444
7,psychiatric_or_mental_illness,0.9576,0.9585,0.969
8,homosexual_gay_or_lesbian,0.8472,0.9279,0.9447
9,Mp,0.8984,0.9474,0.9503
