,subgroup,SUB,BPSN,BNSP
0,black,0.8577,0.9113,0.9556
1,white,0.8708,0.9172,0.9565
2,male,0.9297,0.9623,0.9516
3,female,0.9308,0.9667,0.9474
4,christian,0.9487,0.9729,0.9454
5,jewish,0.9285,0.9531,0.9546
6,muslim,0.8917,0.9365,0.951
7,psychiatric_or_mental_illness,0.8966,0.9465,0.9483
8,homosexual_gay_or_lesbian,0.8513,0.9258,0.9455
9,Mp,0.8969,0.9422,0.9506
