,subgroup,SUB,BPSN,BNSP
0,black,0.8518,0.9074,0.9551
1,white,0.8651,0.9126,0.956
2,male,0.9274,0.9583,0.9519
3,female,0.9259,0.9623,0.9468
4,christian,0.9464,0.9689,0.9464
5,jewish,0.9245,0.9476,0.9553
6,muslim,0.8858,0.9316,0.9504
7,psychiatric_or_mental_illness,0.8903,0.9446,0.9437
8,homosexual_gay_or_lesbian,0.851,0.9238,0.9437
9,Mp,0.8926,0.9383,0.9498
