,subgroup,SUB,BPSN,BNSP
0,black,0.8525,0.9297,0.9376
1,white,0.8499,0.917,0.9457
2,male,0.9254,0.9597,0.9427
3,female,0.9367,0.9715,0.9346
4,christian,0.9316,0.9703,0.9312
5,jewish,0.9004,0.9453,0.9407
6,muslim,0.8488,0.9384,0.9297
7,psychiatric_or_mental_illness,0.9517,0.951,0.9651
8,homosexual_gay_or_lesbian,0.8279,0.9299,0.9285
9,Mp,0.8851,0.9449,0.9392
