,subgroup,SUB,BPSN,BNSP
0,black,0.8427,0.9027,0.9467
1,white,0.8601,0.9104,0.9481
2,male,0.923,0.9579,0.9427
3,female,0.9258,0.963,0.9383
4,christian,0.9403,0.969,0.9332
5,jewish,0.9261,0.9486,0.9446
6,muslim,0.88,0.928,0.9432
7,psychiatric_or_mental_illness,0.8877,0.9348,0.9433
8,homosexual_gay_or_lesbian,0.8292,0.9112,0.938
9,Mp,0.8855,0.9344,0.9419
