,subgroup,SUB,BPSN,BNSP
0,black,0.8429,0.9196,0.9417
1,white,0.8489,0.9169,0.9451
2,male,0.9267,0.9586,0.9454
3,female,0.9337,0.9699,0.9359
4,christian,0.9418,0.9724,0.9343
5,jewish,0.9089,0.947,0.9424
6,muslim,0.8459,0.9334,0.9333
7,psychiatric_or_mental_illness,0.9337,0.9478,0.9584
8,homosexual_gay_or_lesbian,0.8425,0.9167,0.9404
9,Mp,0.8855,0.9411,0.9417
