,subgroup,SUB,BPSN,BNSP
0,black,0.8565,0.9259,0.9482
1,white,0.8628,0.923,0.952
2,male,0.9331,0.9624,0.9522
3,female,0.9421,0.972,0.9462
4,christian,0.943,0.9735,0.9437
5,jewish,0.9181,0.9504,0.9509
6,muslim,0.8682,0.9418,0.9422
7,psychiatric_or_mental_illness,0.9538,0.9569,0.9679
8,homosexual_gay_or_lesbian,0.8463,0.9338,0.9401
9,Mp,0.897,0.9478,0.9491
