,subgroup,SUB,BPSN,BNSP
0,black,0.8528,0.9131,0.9528
1,white,0.8707,0.9192,0.9548
2,male,0.9299,0.962,0.9513
3,female,0.933,0.9662,0.9478
4,christian,0.9479,0.9723,0.9452
5,jewish,0.9281,0.9541,0.9534
6,muslim,0.8861,0.9369,0.9486
7,psychiatric_or_mental_illness,0.8958,0.9424,0.9505
8,homosexual_gay_or_lesbian,0.849,0.9294,0.9426
9,Mp,0.8952,0.9427,0.9496
