,subgroup,SUB,BPSN,BNSP
0,black,0.8464,0.9342,0.9319
1,white,0.8494,0.9281,0.9377
2,male,0.9229,0.9576,0.9427
3,female,0.9345,0.9694,0.9365
4,christian,0.9366,0.9729,0.9278
5,jewish,0.889,0.9493,0.932
6,muslim,0.8535,0.9444,0.9225
7,psychiatric_or_mental_illness,0.9466,0.9552,0.9575
8,homosexual_gay_or_lesbian,0.8386,0.94,0.9212
9,Mp,0.8849,0.9495,0.9341
