,subgroup,SUB,BPSN,BNSP
0,black,0.8359,0.883,0.9559
1,white,0.865,0.8986,0.9573
2,male,0.9232,0.9531,0.9493
3,female,0.9252,0.9592,0.9439
4,christian,0.9429,0.9656,0.9429
5,jewish,0.9322,0.9408,0.9566
6,muslim,0.8769,0.9182,0.9509
7,psychiatric_or_mental_illness,0.8878,0.9283,0.9499
8,homosexual_gay_or_lesbian,0.8201,0.9106,0.9402
9,Mp,0.8839,0.9262,0.9495
