,subgroup,SUB,BPSN,BNSP
0,black,0.8452,0.9039,0.9487
1,white,0.8639,0.9125,0.9503
2,male,0.9255,0.9586,0.9452
3,female,0.9299,0.9635,0.9416
4,christian,0.9423,0.9693,0.9369
5,jewish,0.9279,0.9503,0.9476
6,muslim,0.8802,0.9309,0.944
7,psychiatric_or_mental_illness,0.8926,0.9349,0.9476
8,homosexual_gay_or_lesbian,0.8335,0.916,0.939
9,Mp,0.8885,0.9361,0.9445
