,subgroup,SUB,BPSN,BNSP
0,black,0.8445,0.9196,0.9439
1,white,0.8514,0.918,0.9472
2,male,0.9288,0.9595,0.9474
3,female,0.9358,0.97,0.9392
4,christian,0.9428,0.9723,0.9378
5,jewish,0.916,0.9483,0.9465
6,muslim,0.8498,0.9367,0.9353
7,psychiatric_or_mental_illness,0.9333,0.9488,0.9599
8,homosexual_gay_or_lesbian,0.8463,0.9229,0.9401
9,Mp,0.8883,0.9428,0.944
